Reportnumber,NonMotoristID,NonMotoristActions,NonMotoristAlcoholTestindicator,NonMotoristAlcoholTestType,NonMotoristBAC,NonMotoristCondition,NonMotoristDOB,NonMotoristDrugTestIndicator,NonMotoristDrugTestResult,NonMotoristInjurySeverity,NonMotoristLocation,NonMotoristMovement,NonMotoristObeyTrafficSignal,NonMotoristSafetyEquipment,NonMotoristSex,NonMotoristSubstanceUse,NonMotoristType,NonMotoristUnitNumberFirstStrike,NonMotoristVisibility
ADF880003Q,1f785514-8f8c-4ab9-aed1-50a98d5e57d4,Failure to Yield Right of Way,N/A,,,,1/18/1995,N/A,,Suspected Minor Injury,Other,Other,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,1,Mixed Clothing
ADJ9790020,cffa0e57-38b4-4c74-b93b-0b9f649af511,No Improper Actions,N/A,,,,7/15/1992,N/A,,Suspected Serious Injury,Other,Getting Off/On Vehicle,N/A,N/A,F,N/A,Pedestrian,1,Unknown
ADK616000B,b3c0399a-8992-4b8d-85ed-3529a72d4018,Not Visible,N/A,,,Apparently Normal,11/27/1944,N/A,,Possible Injury,Other,Standing,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,1,N/A
ADK230001L,72103149-37a8-4398-b767-93cd691d014c,Other,N/A,,,Apparently Normal,10/28/1981,N/A,,Possible Injury,Other,Other,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Light Clothing
ADK1080037,6ab1a74a-7248-4adb-b344-c1b6cca573d9,Not Visible,N/A,,,,1/11/1966,N/A,,Possible Injury,On Roadway Not at Crosswalk,Other,N/A,None,M,None Detected,Pedestrian,,Light Clothing
ADK7180001,b5e64503-942a-426b-845f-7aa403f6102f,No Improper Actions,N/A,,,Apparently Normal,5/14/1981,N/A,,Possible Injury,On Roadway At Crosswalk,Other,N/A,None,F,None Detected,Pedestrian,1,Mixed Clothing
BSPDA2130005,600ae740-b0b0-4a24-b728-e624199df5e5,Unknown,N/A,,,Apparently Normal,11/18/2005,N/A,,No Apparent Injury,At Intersection But No Crosswalk,Cross/Enter Not at Intersection,Unknown,N/A,F,N/A,Pedestrian,,Unknown
BSPDA2850008,c24474c0-b535-4479-86b4-90dcb9aa389d,Dart Dash,N/A,,,Apparently Normal,5/30/2006,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ522005D,d1ffcac1-3aae-4f93-ad95-c236c5e4880c,Unknown,N/A,,,Unknown,2/3/1994,N/A,,Possible Injury,Other,Unknown,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Unknown
ADK476001Z,16e8e982-6059-4342-a8f0-8d7ce463f4ab,No Improper Actions,N/A,,,,2/2/1986,N/A,,Suspected Minor Injury,Other,Other,No Pedestrian Signal,None,M,None Detected,Pedestrian,,Light Clothing
ADG34500JC,0be5cd8e-5e12-4b1a-9d95-b3167532cbce,No Improper Actions,N/A,,,Apparently Normal,6/25/1950,N/A,,Suspected Minor Injury,Other,Standing,N/A,N/A,F,None Detected,Pedestrian,1,Light Clothing
ADK6090013,cf80d770-7904-413f-92e0-484faa618816,Not Visible,N/A,,,Apparently Normal,6/15/1995,N/A,,Possible Injury,Curb,N/A,N/A,None,F,None Detected,Pedestrian,1,N/A
ADJ989007G,45a50ce5-da39-4e7e-939c-6c28979d1a32,No Improper Actions,N/A,,,Other,9/30/1955,N/A,,Suspected Minor Injury,Other,Other,N/A,N/A,F,None Detected,Pedestrian,1,Light Clothing
ADJ7490059,6e372471-571a-4ef2-bdf9-b84ade035c0e,No Improper Actions,N/A,,,,4/5/1960,N/A,,Possible Injury,N/A,N/A,N/A,N/A,F,None Detected,Pedestrian,,N/A
ADI1120073,438d7252-4ed4-443f-afc2-c35d612f5a26,Other,N/A,,,,8/28/1959,N/A,,Possible Injury,Other,Other,No Pedestrian Signal,None,M,N/A,Bicyclist,,Other
ADI913003T,daa80d73-814f-4756-a8cc-0193c4bdf834,No Improper Actions,N/A,,,,7/18/1999,N/A,,Possible Injury,Other,Standing,N/A,N/A,F,N/A,Pedestrian,,Mixed Clothing
ADK4290010,488d13a2-ad9e-4849-a475-93a78b8e6dd8,No Improper Actions,N/A,,,,12/8/1947,N/A,,No Apparent Injury,Unknown,Standing,N/A,N/A,M,N/A,Other,,N/A
ADK654000G,d9cbb940-fe31-4fb3-a34f-ba3e44f0c193,No Improper Actions,N/A,,,Apparently Normal,6/1/1990,N/A,,Possible Injury,Sidewalk,Walking/Riding on Sidewalk,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,1,Light Clothing
ADH6880008,7e000bb3-5477-4798-9c2c-7a1845648e0e,No Improper Actions,N/A,,,Apparently Normal,1/21/1988,N/A,,Possible Injury,Other,Standing,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADK5330012,bfb2145e-9cec-4af3-a718-a7fb99d11242,Unknown,N/A,,,Apparently Normal,8/7/2001,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,N/A,M,N/A,Pedestrian,1,Mixed Clothing
ADK4880016,76633284-c8f4-42e6-b9f3-bdc6b358172e,No Improper Actions,N/A,,,,8/4/1986,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,,Dark Clothing
ADJ949004Q,a52d51d7-ba12-45ca-ae38-cfb33da5fdf3,No Improper Actions,N/A,,,Apparently Normal,7/28/1980,N/A,,Suspected Minor Injury,Sidewalk,Standing,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADK481001F,5e239989-207d-46c2-9749-d317f99d4e1a,Unknown,N/A,,,N/A,11/1/1991,N/A,,Suspected Minor Injury,Midblock Marked Crosswalk,N/A,N/A,Unknown,F,None Detected,Pedestrian,1,Light Clothing
ADK656000N,44802e74-4cf2-4493-899d-ca7f44328a8f,No Improper Actions,N/A,,,Apparently Normal,11/24/2000,N/A,,Suspected Serious Injury,Other,Standing,N/A,None,M,N/A,Pedestrian,,Light Clothing
ADK655000M,82332a13-3a08-49e7-8736-3e37ace300fd,Unknown,N/A,,,Apparently Normal,9/22/1956,N/A,,Possible Injury,N/A,Other,No Pedestrian Signal,None,M,N/A,Pedestrian,,Unknown
ADK168003P,110dd8a8-7927-4ca4-81a5-77e19d0125c4,Other,N/A,,,N/A,2/16/1989,N/A,,Possible Injury,Other,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,,N/A
ADK551001X,c2737c1e-9659-4513-abb2-bb6643b3588c,Not Visible,N/A,,,,4/16/1969,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,,Dark Clothing
ADJ821002F,29cd66ce-eca3-43ab-91f6-baff27c7bce3,Not Visible,N/A,,,Apparently Normal,12/25/1996,N/A,,Suspected Minor Injury,Other,Other,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Dark Clothing
ADH15000CB,f8a875ba-f6d1-4c6a-8c86-91fb0bfc0ebd,No Improper Actions,N/A,,,Other,5/28/1964,N/A,,Suspected Minor Injury,Other,Standing,No Pedestrian Signal,None,F,Other,Pedestrian,1,Mixed Clothing
ADJ424007W,82cf31e6-5e05-4bf0-abb8-06b773c4e8a4,Entering Exiting Parked Standing Vehicle,N/A,,,Apparently Normal,12/4/1975,N/A,,Possible Injury,On Roadway Not at Crosswalk,Getting Off/On Vehicle,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Unknown
JC74940001,5ece5662-b285-4980-996a-14aa3752d65e,No Improper Actions,N/A,,,Apparently Normal,4/19/1997,N/A,,Possible Injury,Other,Other,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Unknown
ADK357001Z,8764be0c-c8f0-4806-9fc4-b689bbda302a,Unknown,N/A,,,,10/20/2005,N/A,,Suspected Minor Injury,Sidewalk,Standing,N/A,N/A,F,None Detected,Pedestrian,1,Unknown
ADK357001Z,91c25fd7-39d9-482f-a1ed-d7192cd6cac4,Unknown,N/A,,,,10/16/1994,N/A,,Possible Injury,Sidewalk,Standing,N/A,N/A,F,None Detected,Pedestrian,,Unknown
ADH688000H,b7df4d1a-288b-46c8-acd9-0c16174754fb,No Improper Actions,N/A,,,Apparently Normal,4/25/2010,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Light Clothing
ADJ6620076,39ccca91-7201-47ee-81f4-4f80962c92fd,Dart Dash,Unknown,,,Apparently Normal,12/17/1961,Unknown,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,No Pedestrian Signal,None,M,Unknown,Bicyclist,,Mixed Clothing
ADK213002W,7583206c-47f6-46fb-976b-58dceae34637,Unknown,N/A,,,,1/9/1952,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,N/A,Pedestrian,1,Light Clothing
ADI082000N,8540ba9b-a6a2-4c38-8d7c-3ffbf605adec,Other,N/A,,,N/A,2/6/1994,N/A,,Possible Injury,Sidewalk,Walking/Riding on Sidewalk,N/A,Unknown,M,N/A,Other,1,N/A
ADI082000N,b55abd18-15b1-489d-8e04-549540d2df21,Other,N/A,,,,6/25/1994,N/A,,Suspected Serious Injury,Sidewalk,Walking/Riding on Sidewalk,N/A,N/A,F,N/A,Other Pedalcyclist,1,N/A
ADK545000V,3e2aed28-29b2-4ab2-ab9a-42a444cf878a,In Roadway Improperly,N/A,,,Apparently Normal,1/15/1950,N/A,,Possible Injury,On Roadway Not at Crosswalk,N/A,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Dark Clothing
ADJ947005Q,400a0e25-f2c6-4a40-b36e-055893c9bcf7,In Roadway Improperly,N/A,,,Using Drugs,2/18/1974,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,Illegal Drug Contributed,Pedestrian,1,Dark Clothing
ADJ749005T,f9b20470-13e1-43a4-95a6-3be16013759b,Dart Dash,N/A,,,Apparently Normal,11/27/2006,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,None,F,None Detected,Pedestrian,,N/A
ADK514000X,c99d0904-08fd-4a41-88fb-7f1d2ba2b89e,Unknown,N/A,,,Apparently Normal,5/13/1955,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Unknown,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Dark Clothing
ADK427001X,c8eaab89-e6b6-4995-8b77-c00551a263c8,No Improper Actions,N/A,,,Apparently Normal,3/16/1959,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,Reflective Clothing,M,None Detected,Pedestrian,1,Light Clothing
ADK558001T,fdeba065-e879-449c-9492-ecab6740cfd1,Unknown,N/A,,,,1/1/1982,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Unknown,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADH55200BH,58157180-f80e-438c-8ce7-a980ed583e68,Failure to Yield Right of Way,N/A,,,,4/11/1955,N/A,,Suspected Minor Injury,Outside Right of Way,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,,Dark Clothing
ADI561004M,0c7615eb-7049-4608-89f4-b6d41b60a7df,Unknown,N/A,,,,2/23/1995,N/A,,Possible Injury,Curb,Unknown,No Pedestrian Signal,None,M,Alcohol Present,Pedestrian,,Mixed Clothing
ADI520005N,e1385b99-5d17-44c7-9cbf-6400b24ddc96,Unknown,N/A,,,Apparently Normal,10/19/1984,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,N/A,None,M,None Detected,Bicyclist,1,Mixed Clothing
ADK677000D,5e22f03d-5946-4653-b033-21ae78d1e62c,Improper Turn Merge,N/A,,,Apparently Normal,7/27/1998,N/A,,Suspected Minor Injury,Outside Right of Way,Walking/Riding With Traffic,N/A,None,M,None Detected,Bicyclist,1,Light Clothing
ADJ855006X,25c5eedb-db23-44fc-9dde-4c5eb00cec67,Other,N/A,,,Apparently Normal,11/19/2008,N/A,,Possible Injury,Other,Other,Other,None,M,N/A,Bicyclist,1,Dark Clothing
ADJ632008Q,668e3d1e-7fa1-4aab-9cf6-f358b73679ed,Unknown,N/A,,,Apparently Normal,12/26/2019,N/A,,Suspected Minor Injury,N/A,Other,Unknown,N/A,M,N/A,Pedestrian,1,Unknown
ADJ632008Q,f0524ac0-b8d7-4c9b-9d02-346bc8f4ac89,Unknown,N/A,,,Apparently Normal,3/13/2000,N/A,,No Apparent Injury,Unknown,Cross/Enter at Intersection,Unknown,None,F,None Detected,Other,,Unknown
ADJ266009R,8fe93d22-c3ca-42ed-bef4-642ed40f5408,No Improper Actions,N/A,,,Apparently Normal,9/26/1962,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Dark Clothing
ADJ868003V,650d17e9-78e8-4a8a-a8c9-49be85e5e2e6,Inattentive,N/A,,,Apparently Normal,6/13/1977,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,,Light Clothing
ADK5510017,578c494c-bcdd-4080-9e42-f6345ab89880,Not Visible,N/A,,,,9/23/1991,N/A,,Suspected Minor Injury,Sidewalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,None Detected,Other Pedalcyclist,,Mixed Clothing
ADH8390066,01fb36ea-2d6c-4eb5-b024-46581de4b744,N/A,N/A,,,Apparently Normal,3/13/1989,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,N/A,None,F,N/A,Pedestrian,1,Mixed Clothing
ADE743001Z,420c4762-bc0e-4e5c-81c2-180808f14ac3,No Improper Actions,N/A,,,Apparently Normal,11/26/1952,N/A,,Suspected Minor Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADI286004K,06796887-26c0-4e32-b057-79e2a12a7be4,Dart Dash,N/A,,,Apparently Normal,4/3/2012,N/A,,Possible Injury,On Roadway Not at Crosswalk,N/A,N/A,None,M,None Detected,Pedestrian,1,Light Clothing
ADK5530018,481b5c87-2c96-4d55-84cd-f9849f8a662d,N/A,N/A,,,N/A,2/27/1968,N/A,,Suspected Minor Injury,Curb,Standing,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADK5530018,4af856ad-5546-4058-8ce3-13a3a2baffac,N/A,N/A,,,N/A,11/10/1980,N/A,,Suspected Minor Injury,Sidewalk,N/A,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADK5570017,70603347-52c9-48f3-b005-c1b6a96ece10,Unknown,N/A,,,,8/22/1995,N/A,,Possible Injury,Other,Other,No Pedestrian Signal,N/A,F,Unknown,Pedestrian,1,Mixed Clothing
ADK572001Y,fc565872-a9ef-49b8-ab06-b2c9d2dbd571,Unknown,N/A,,,N/A,8/30/1984,N/A,,Possible Injury,Unknown,Cross/Enter at Intersection,Unknown,None,M,N/A,Other,,Unknown
ADK621000Q,0e27000a-aa69-4087-8366-1e5af9d1efb9,N/A,N/A,,,N/A,9/8/1976,N/A,,Possible Injury,Sidewalk,Walking/Riding on Sidewalk,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADK203000R,3ed3b2f1-b44b-4915-965b-ac53dd432be6,Other,N/A,,,,8/14/1981,N/A,,Possible Injury,Other,Standing,N/A,N/A,M,N/A,Pedestrian,,Dark Clothing
ADK590000K,05b4d107-37ec-498c-b932-5ea2070b956d,No Improper Actions,N/A,,,Apparently Normal,10/25/1993,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,N/A,M,None Detected,Pedestrian,1,N/A
ADJ3520058,621e802e-7938-47ac-8e8c-049ab3ba97cf,Other,N/A,,,,10/16/1991,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Other,N/A,N/A,F,None Detected,Pedestrian,2,Light Clothing
ADK201003F,81b45e8d-6458-43fb-ac8b-a4c5c4b9dea3,Unknown,N/A,,,Apparently Normal,12/5/2012,N/A,,Suspected Minor Injury,Outside Right of Way,Cross/Enter Not at Intersection,Unknown,None,F,None Detected,Bicyclist,,Dark Clothing
ADK134007B,dc9e1f55-140c-4a3d-832f-a640d4cb2bec,No Improper Actions,N/A,,,Apparently Normal,12/15/1955,N/A,,Suspected Minor Injury,Other,Cross/Enter at Intersection,N/A,None,M,N/A,Pedestrian,1,Dark Clothing
ADK708000G,71eaa165-690c-4977-9e64-bd9d0732a337,Unknown,N/A,,,,1/20/2017,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,Unknown,None,M,None Detected,Pedestrian,,Dark Clothing
ADH727009D,aac2e19c-7509-4bcf-9232-c994562c0187,No Improper Actions,N/A,,,Apparently Normal,1/30/2011,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Playing,No Pedestrian Signal,None,M,None Detected,Bicyclist,1,Other
ADJ8660027,0fda3331-4800-4b12-bd74-acaa214146bb,No Improper Actions,N/A,,,,1/20/2006,N/A,,Possible Injury,Outside Right of Way,Playing,N/A,N/A,M,N/A,Pedestrian,,N/A
ADK8700003,29494922-446a-48c9-ab25-7b022176d15e,Unknown,N/A,,,Using Drugs,1/30/2004,N/A,,Suspected Minor Injury,Unknown,Unknown,Unknown,Unknown,M,Illegal Drug Present,Pedestrian,,Unknown
ADK424000Z,f248e60d-da4b-45a9-a3ac-f56957258ca5,Failure to Yield Right of Way,N/A,,,,11/7/1969,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,1,Light Clothing
ADK519000D,c1d4e682-1fc9-41e7-b22e-af63f4f558f1,Dart Dash,N/A,,,Apparently Normal,11/17/1990,N/A,,Suspected Minor Injury,Other,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,N/A
ADK5010024,d6e8eb5a-2560-4453-81a6-ad07bdcf911a,No Improper Actions,N/A,,,Apparently Normal,4/24/1986,N/A,,Possible Injury,Other,Getting Off/On Vehicle,N/A,N/A,F,None Detected,Pedestrian,1,N/A
ADK8410009,1efe7056-de81-4227-9941-491e0f18880e,Unknown,N/A,,,Apparently Normal,10/2/1987,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Standing,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Mixed Clothing
ADK7790005,f82a42b0-972e-4982-aa09-d26da24b13e3,No Improper Actions,N/A,,,,3/24/1961,N/A,,Suspected Minor Injury,In Bikeway,N/A,No Pedestrian Signal,None,F,N/A,Pedestrian,1,N/A
ADJ397001Z,9777bb32-522e-4f27-a3ba-2d7d317b92e8,No Improper Actions,N/A,,,Apparently Normal,10/23/1955,N/A,,Possible Injury,Shoulder,Walking/Riding With Traffic,N/A,None,M,N/A,Bicyclist,1,Dark Clothing
ADI575007N,9e28fa8d-bd4b-47c8-a42d-e2a4dd11d413,No Improper Actions,N/A,,,Apparently Normal,1/17/2000,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,1,Light Clothing
ADK0990040,9ff2688c-2e26-428f-b7ff-3b7dd9cece57,No Improper Actions,N/A,,,Apparently Normal,10/8/1986,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,M,N/A,Bicyclist,1,Light Clothing
ADK054005R,fcbc46b1-742d-4bee-a81e-fd79aa90494d,Failure to Yield Right of Way,N/A,,,Other Handicap,10/15/1960,N/A,,Suspected Serious Injury,Sidewalk,Walking/Riding on Sidewalk,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Mixed Clothing
ADK200002W,a91e5778-15dd-491c-9b19-1ebf1040320d,Unknown,N/A,,,Apparently Normal,1/14/1963,N/A,,Suspected Minor Injury,N/A,Cross/Enter Not at Intersection,N/A,N/A,F,None Detected,Pedestrian,1,Unknown
ADK533000D,8808a16a-a0d7-45b8-a6c1-a5cf7e8b134c,Unknown,N/A,,,Apparently Normal,8/10/1989,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,N/A,M,N/A,Pedestrian,1,Mixed Clothing
ADK6810010,f764a995-350f-431b-8749-3dd5bec7562e,N/A,N/A,,,Apparently Normal,12/3/2005,N/A,,Possible Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,None,M,N/A,Bicyclist,1,N/A
ADK2610011,5f8a7fa2-f601-482c-b2d2-c44483f2866e,Unknown,N/A,,,Apparently Normal,7/6/2006,N/A,,Possible Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,N/A,None,M,N/A,Other,1,Mixed Clothing
ADK625000Z,d25b4572-5f8a-4ff6-b312-6199a24c8fe5,Dart Dash,N/A,,,,9/11/1992,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,None Detected,Pedestrian,,Dark Clothing
ADK498001C,de4785a2-d78d-4de5-a221-14d3453533ac,No Improper Actions,N/A,,,Apparently Normal,3/25/1969,N/A,,Possible Injury,Unknown,Getting Off/On Vehicle,N/A,N/A,M,None Detected,Pedestrian,,Light Clothing
ADI4670064,072196c9-fb2e-49e1-8a93-c9c6b79c7bbc,Dart Dash,N/A,,,,2/4/1988,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,,Dark Clothing
ADK363000F,0be80515-42c2-44dd-bdce-9567eb26d5ad,Unknown,N/A,,,Apparently Normal,12/26/1992,N/A,,Possible Injury,Curb,Other Working,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,N/A
ADH99100DJ,9950c7a3-5afc-4aac-8ffb-f277ed4161e5,Inattentive,N/A,,,Apparently Normal,11/24/1977,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Other Working,N/A,Reflective Clothing,M,None Detected,Pedestrian,1,Reflective Material
ADK098001M,e0deb038-e7cf-41ac-8a44-8e4016993e04,Unknown,N/A,,,Other,5/14/1995,N/A,,Suspected Serious Injury,N/A,N/A,N/A,N/A,M,N/A,Pedestrian,,N/A
ADI718002Z,8eac9047-42f3-4040-bc2e-1d59af746d7e,Inattentive,N/A,,,Unknown,9/6/1966,N/A,,Suspected Serious Injury,Outside Right of Way,Unknown,N/A,N/A,M,Unknown,Pedestrian,1,Mixed Clothing
ADJ9060024,8037b677-3a59-4abb-b2da-780134d962f1,No Improper Actions,N/A,,,,1/24/2014,N/A,,Suspected Serious Injury,Shoulder,Playing,No Pedestrian Signal,None,M,N/A,Other Conveyance,1,N/A
ADK501001Z,9c726743-bb37-4402-8fa2-d0f36381b7c9,Unknown,N/A,,,Unknown,2/8/1970,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADK433000W,cc01fbb2-8e7d-41e4-a630-d751117280c6,Not Visible,N/A,,,Apparently Normal,4/19/2013,N/A,,Suspected Minor Injury,Sidewalk,Playing,No Pedestrian Signal,None,M,None Detected,Bicyclist,1,Light Clothing
ADK363000S,173d7edc-3298-49b1-8a46-7b84152e2c77,Unknown,N/A,,,N/A,5/24/1992,N/A,,Possible Injury,On Roadway Not at Crosswalk,Standing,N/A,N/A,M,N/A,Pedestrian,,Mixed Clothing
ADK5270012,c41ad85d-e88e-402b-9bf6-fd411e9cfc37,Other,N/A,,,Had Been Drinking,7/26/1992,N/A,,Possible Injury,Other,Standing,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Light Clothing
ADJ084006Y,140b7981-1983-4031-a12e-3d67ab0ff2db,Other,N/A,,,Apparently Normal,9/11/1988,N/A,,Possible Injury,N/A,Standing,N/A,N/A,F,N/A,Pedestrian,1,Dark Clothing
ADK412000S,491515d2-9958-451c-85a8-ae267c93f589,Unknown,N/A,,,,2/8/1986,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,Dark Clothing
ADK611000P,c6cd5f55-ab58-40aa-a660-4adf62eea84f,Dart Dash,N/A,,,,10/11/2007,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,N/A,None,M,N/A,Pedestrian,1,N/A
ADK2610012,7eb046a2-813a-489d-b504-99f77973c255,Unknown,N/A,,,N/A,3/27/1988,N/A,,Possible Injury,Median,Walking/Riding With Traffic,No Pedestrian Signal,None,M,N/A,Machine Operator/Rider,,Light Clothing
ADG5930047,57f22caf-3662-40b2-b3d6-325c59606628,Unknown,N/A,,,Apparently Normal,3/27/1951,N/A,,Suspected Minor Injury,Unknown,Walking/Riding With Traffic,Unknown,None,F,N/A,Pedestrian,1,Unknown
ADJ6320085,4fb5699d-2905-4d84-9803-1a37a63c62e8,Unknown,N/A,,,,8/30/1958,N/A,,Suspected Minor Injury,Unknown,Cross/Enter at Intersection,Unknown,Unknown,M,Unknown,Pedestrian,1,Unknown
ADK0730046,4edfc8e1-16ad-4815-9c2a-3e86868f7b79,Failure to Yield Right of Way,N/A,,,,9/4/1985,N/A,,Possible Injury,Shoulder,Cross/Enter at Intersection,No Pedestrian Signal,N/A,M,N/A,Other,,Mixed Clothing
ADK558001N,3f0aeda0-a086-43ea-ad63-a09ddb369eae,No Improper Actions,N/A,,,Apparently Normal,8/6/1999,N/A,,Possible Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,N/A,N/A,F,N/A,Bicyclist,1,N/A
ADK163002F,abb8d1b7-c57a-466d-b1b0-fec38f57bc7a,No Improper Actions,N/A,,,Physical Defects,11/22/1951,N/A,,Suspected Serious Injury,Sidewalk,Standing,N/A,None,M,N/A,Pedestrian,1,N/A
ADK555000H,e8f04fe0-809e-41dc-bd2a-4d66eb036efd,Other,N/A,,,,7/24/2004,N/A,,Suspected Minor Injury,Median,Other,Other,N/A,M,None Detected,Pedestrian,,N/A
ADJ8680042,78b41fb3-025c-4e8d-891e-f186cd50962b,No Improper Actions,N/A,,,Apparently Normal,2/18/2003,N/A,,Possible Injury,Shoulder,Walking/Riding With Traffic,No Pedestrian Signal,Unknown,M,None Detected,Bicyclist,1,Mixed Clothing
ADK165000Z,54d73eba-f569-4662-af6d-f2e51be1e84e,In Roadway Improperly,N/A,,,Apparently Normal,2/24/2010,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,None Detected,Bicyclist,1,Mixed Clothing
ADK553001B,a588bfa1-54bb-4df9-ac83-7a1c344f59a5,Not Visible,N/A,,,N/A,6/5/2001,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Unknown,N/A,None,M,N/A,Pedestrian,,N/A
ADK568000D,f503756b-a8ab-4a31-b437-5d9f289fe0a5,No Improper Actions,N/A,,,,2/21/1952,N/A,,Suspected Minor Injury,Sidewalk,Other,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,N/A
ADK531000Y,3362ba5d-03f7-4c03-b14f-6db7074db0cb,No Improper Actions,N/A,,,Apparently Normal,5/6/1974,N/A,,Possible Injury,Shoulder,Cross/Enter at Intersection,N/A,None,M,None Detected,Pedestrian,,Dark Clothing
